speed,direction
15.01,102.66
20.01,107.33
23.51,112.66
23.36,111.33
21.95,113
21.13,110.33
22.06,106.16
20.58,111.33
16.8,111.66
17.31,119.33
17.23,114.5
13.71,108.33
13.4,123.5
12.8,117.16
7.88,94.83
2.75,87.33
5.35,91.83
4.7,85
7.18,94.83
5.68,92.16
2.16,122.253569
2.78,109.83
2.01,109.83
2.21,155.16
4.98,91.5
4.08,72
15.230983,91.16
17.93,109.83
17.93,113.66
16.68,114.66
5.129971,110.16
10.98,179.33
10.98,128.66
12.51,118.83
11.26,126.5
9.18,128.83
7.05,143.66
6.26,145.83
4.65,117.5
5.35,99.16
3.75,92
2.85,118
2.2,124.815387
6.06,106.16
6.66,106.16
4.83,101.5
6.25,88.16
6.76,85
5.85,81.33
6.96,84.16
15.230983,107.33
16.96,110.66
16.96,109.66
16.41,109.83
15.01,114
13.15,122.33
8.4,145.83
8.48,151.83
5.78,139.5
5.18,128.83
5.06,126.83
3.06,120.33
1.81,121.33
3.03,126.83
4.05,97
4.1,94.66
5.21,91
3.51,74
2.85,82.66
1.9,71.33
3.45,154.66
3.08,81.83
5.48,120.16
4.83,84.33
2.98,73.66
4.65,107.33
4.9,99.16
6.95,111.16
8.2,119
8.86,126.83
7.23,132.66
4.68,125.16
2.33,232.066616
2.75,247
2.38,247
2.66,255.5
1.41,304.33
2.23,199.66
1.43,183.83
1,261.33
1.68,122.253569
1.3,118.5
1.63,118.5
1.61,104.83
1.35,153.83
4.61,121.83
3.93,99
8.83,102.5
9.35,121.33
9.2,120.33
8.4,113.66
6.76,110.66
6.13,136.5
7.58,133.33
5.36,130.33
3.28,182.66
3.55,134.16
3.58,146.66
5.53,136.66
6.43,140.33
7.48,106.16
4.16,93
4.95,96.33
5.28,97.16
6.53,106.5
6.83,104
6.13,106.16
6.76,111.33
5.85,105.5
6.23,107.83
5.58,93.83
6.58,98.66
9.66,110
11.36,111.5
12.3,113.33
12.56,119.33
12.18,118
11.73,124.16
9.95,127
7.68,125
6.01,137.5
3.11,168.66
5.03,149.16
6.26,124.5
4.81,116.83
6.25,122.16
6.53,120.83
4.9,117.66
6.46,117.33
2.33,105.16
3.75,113.33
3.21,119.16
3.41,102.5
2.18,107.66
2.33,113.298412
2.73,49
1.93,49
2.25,114.33
4.86,106
7.98,123.33
9.65,123.33
8.86,125.33
6.26,157.16
2.73,226.83
2.73,265.33
3.2,263.16
2.48,244.5
2.13,222.16
2.56,190.33
3.83,149.16
7.06,103.5
6.01,97
6.21,104
4.23,102.5
2.68,198.83
3.31,292.5
2.75,122.253569
2.36,118.83
2.05,118.83
2.26,138.16
2.85,126.83
2.1,170
2.93,219.83
2.58,255
2.38,263.83
2.08,265.33
3.21,253.83
3.96,264.16
4.35,273.66
5.01,268.33
5.56,268.16
4.21,250.33
3.51,178.89211
5.83,178.89211
2.4,232.066616
3.03,221.16
2.6,221.16
4.63,328.33
3.78,178.89211
1.75,178.89211
0.76,232.066616
2.76,279.16
1.86,279.16
1.75,305.5
1.61,226.83
1.3,265.33
2.01,257.16
3.45,266
3.86,259.33
4.08,264.33
3.28,290.83
4.43,280.66
3.61,283
3.18,289.5
3.45,313.83
3.08,292
2.33,319.5
1.35,220.33
2.56,133.33
2.45,131.5
2.48,117.33
1.93,158
4.65,120.16
3.4,116.33
2.95,146.5
3,113.16
3.23,90
2.58,80.33
2.3,42.33
2.15,107.83
2.86,151.66
2.96,153.16
3.2,258.83
5.18,262
6.28,264.33
5.13,265.33
4.46,268.83
3.16,277.5
4.56,285.5
4.35,292
